model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
llama3.1-8b,synthetic,probe_mlp,8,0.99625,0.004448782605013055,0.9625,0.9622174460430438,0.9961740516954416
llama3.1-8b,synthetic,probe_mlp,9,0.991875,0.010193441518937526,0.9625,0.9618609390327842,0.9913734432644543
llama3.1-8b,synthetic,probe_mlp,10,0.9983333333333334,0.002357022603955134,0.9708333333333333,0.9707453849592023,0.9982670658657501
llama3.1-8b,synthetic,probe_mlp,11,0.9995833333333333,0.0005892556509888294,0.9916666666666667,0.991869918699187,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,12,0.999375,0.0008838834764832179,0.9958333333333332,0.9958847736625515,0.9993747394204711
llama3.1-8b,synthetic,probe_mlp,13,0.999375,0.0008838834764832179,0.9916666666666667,0.9917695473251028,0.9993747394204712
llama3.1-8b,synthetic,probe_mlp,14,0.9995833333333334,0.000589255650988777,0.9958333333333332,0.9958847736625515,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,15,0.9995833333333334,0.000589255650988777,0.9958333333333332,0.9958847736625515,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,16,0.9991666666666666,0.0011785113019776065,0.9916666666666667,0.9917695473251028,0.9991554411748571
llama3.1-8b,synthetic,probe_mlp,17,0.999375,0.0008838834764831656,0.9916666666666667,0.9917695473251028,0.9993747394204711
llama3.1-8b,synthetic,probe_mlp,18,0.999375,0.0008838834764831656,0.9916666666666667,0.9917695473251028,0.9993747394204711
llama3.1-8b,synthetic,probe_mlp,19,0.9995833333333334,0.000589255650988777,0.9874999999999999,0.9877546923617384,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,20,0.9995833333333334,0.000589255650988777,0.9874999999999999,0.9877546923617384,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,21,0.9995833333333334,0.000589255650988777,0.9874999999999999,0.9877546923617384,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,22,0.9997916666666667,0.0002946278254943885,0.9874999999999999,0.9877546923617384,0.9997967479674797
llama3.1-8b,synthetic,probe_mlp,23,0.9995833333333334,0.000589255650988777,0.9874999999999999,0.9877546923617384,0.9995884146341464
llama3.1-8b,synthetic,probe_mlp,24,0.9983333333333334,0.0007795119555778879,0.9833333333333334,0.9835352830790379,0.9983778365943001
llama3.1-8b,synthetic,probe_mlp,25,0.9983333333333334,0.001178511301977554,0.9874999999999999,0.9877546923617384,0.9983617903812063
llama3.1-8b,synthetic,probe_mlp,26,0.9983333333333334,0.0015590239111558251,0.9874999999999999,0.9877546923617384,0.9983780971738289
llama3.1-8b,synthetic,probe_mlp,27,0.9979166666666667,0.002124591463996999,0.9874999999999999,0.9877546923617384,0.9979507467464784
llama3.1-8b,synthetic,probe_mlp,28,1.0,0.0,0.9874999999999999,0.9877546923617384,1.0
llama3.1-8b,synthetic,probe_mlp,29,1.0,0.0,0.9916666666666667,0.991869918699187,1.0
llama3.1-8b,synthetic,probe_mlp,30,1.0,0.0,1.0,1.0,1.0
llama3.1-8b,synthetic,probe_mlp,31,1.0,0.0,0.9833333333333334,0.9841269841269842,1.0
llama3.1-8b,synthetic,probe_mlp,32,1.0,6.409875621278546e-17,0.9833333333333334,0.9824561403508771,1.0
llama3.1-8b,truthfulqa,probe_linear,0,0.5004169272461956,0.0002948120830463245,0.5041666666666667,0.44998495265874944,0.5127084636230977
llama3.1-8b,truthfulqa,probe_linear,1,0.661872003335418,0.045607343490596586,0.5583333333333332,0.673990942171261,0.6554101478227509
llama3.1-8b,truthfulqa,probe_linear,2,0.7740254325620178,0.018561458652951456,0.6749999999999999,0.7019653660670754,0.8275457155853357
llama3.1-8b,truthfulqa,probe_linear,3,0.7661038148843026,0.015173517102420556,0.6708333333333334,0.7106967354636491,0.8125644442477172
llama3.1-8b,truthfulqa,probe_linear,4,0.7894517406712529,0.021179329592893554,0.7208333333333333,0.7096030832739694,0.8378145562001764
llama3.1-8b,truthfulqa,probe_linear,5,0.8113404210965186,0.023295751585906188,0.7208333333333333,0.7250192557382101,0.8445969797466765
llama3.1-8b,truthfulqa,probe_linear,6,0.8263498019595582,0.031734435899525584,0.725,0.7288045091989749,0.8710165187783311
llama3.1-8b,truthfulqa,probe_linear,7,0.849072336877215,0.023673245055790486,0.775,0.7717820154529016,0.8825920336470032
llama3.1-8b,truthfulqa,probe_linear,8,0.8528246820929747,0.018142324554542063,0.7624999999999998,0.7592698551602662,0.8813334435651479
llama3.1-8b,truthfulqa,probe_linear,9,0.8619970815092767,0.024517307363750955,0.7708333333333334,0.7719599612610062,0.885687168746014
llama3.1-8b,truthfulqa,probe_linear,10,0.8822180529497604,0.01866651774486023,0.7916666666666666,0.7885002139495079,0.8973859750234836
llama3.1-8b,truthfulqa,probe_linear,11,0.8945174067125287,0.006644726892019727,0.8041666666666666,0.8070281124497992,0.9122424482343363
llama3.1-8b,truthfulqa,probe_linear,12,0.8934750885970398,0.010979523937680756,0.775,0.7820726858701542,0.9111666199427754
llama3.1-8b,truthfulqa,probe_linear,13,0.9136960600375236,0.012265741657999232,0.8250000000000001,0.8329833180095606,0.9236899912258488
llama3.1-8b,truthfulqa,probe_linear,14,0.9066082968521992,0.009879504366122841,0.8125,0.8183808700662633,0.9146436796322978
llama3.1-8b,truthfulqa,probe_linear,15,0.8982697519282885,0.0073879696254614885,0.7791666666666667,0.7832167832167832,0.9097130369282738
llama3.1-8b,truthfulqa,probe_linear,16,0.8865957890348134,0.008175389431364416,0.7708333333333334,0.7715944272445819,0.908175341285197
llama3.1-8b,truthfulqa,probe_linear,17,0.8882634980195956,0.008937232065968703,0.7708333333333334,0.7733854839117997,0.9087669306265062
llama3.1-8b,truthfulqa,probe_linear,18,0.8786741713570981,0.011542937836070128,0.7583333333333333,0.7681531029357117,0.8988792606913639
llama3.1-8b,truthfulqa,probe_linear,19,0.8774233896185116,0.010987437109113525,0.7791666666666668,0.7840676128523557,0.8984137938229774
